model_name,class,false_positive_rate,true_positive_rate,threshold
sensor_attack_ensemble,1,0.00064,0.994,0.5932034532672962
sensor_attack_ensemble,1,0.00064,0.99408,0.5900681319740694
sensor_attack_ensemble,1,0.00072,0.99408,0.5895996985852453
sensor_attack_ensemble,1,0.00072,0.99416,0.5881247902242326
sensor_attack_ensemble,1,0.0008,0.99416,0.5874113731181319
sensor_attack_ensemble,1,0.0008,0.99424,0.586787925448272
sensor_attack_ensemble,1,0.00088,0.99424,0.5849287664473719
sensor_attack_ensemble,1,0.00088,0.99512,0.5756765653284036
sensor_attack_ensemble,1,0.00096,0.99512,0.5731335953060386
sensor_attack_ensemble,1,0.00096,0.9952,0.5729107746767909
sensor_attack_ensemble,1,0.00104,0.9952,0.5709690215211128
sensor_attack_ensemble,1,0.00104,0.99664,0.5302988773008676
sensor_attack_ensemble,1,0.00112,0.99664,0.5290340505974268
sensor_attack_ensemble,1,0.00112,0.99784,0.47276795333774685
sensor_attack_ensemble,1,0.0012,0.99784,0.46545045668733526
sensor_attack_ensemble,1,0.0012,0.998,0.45418834875623354
sensor_attack_ensemble,1,0.00144,0.998,0.44619073031271667
sensor_attack_ensemble,1,0.00144,0.99816,0.44196970224847226
sensor_attack_ensemble,1,0.00152,0.99816,0.4403201878429653
sensor_attack_ensemble,1,0.00152,0.99832,0.4244986038602358
sensor_attack_ensemble,1,0.0016,0.99832,0.4223233457354442
sensor_attack_ensemble,1,0.0016,0.99856,0.41687192686535296
sensor_attack_ensemble,1,0.00176,0.99856,0.4036494321877831
sensor_attack_ensemble,1,0.00176,0.99872,0.40186353948472747
sensor_attack_ensemble,1,0.00184,0.99872,0.4015939381051048
sensor_attack_ensemble,1,0.00184,0.99888,0.39773073369645173
sensor_attack_ensemble,1,0.00192,0.99888,0.393835928188238
sensor_attack_ensemble,1,0.00192,0.99896,0.3879632776531745
sensor_attack_ensemble,1,0.00208,0.99896,0.3780396273366506
sensor_attack_ensemble,1,0.00208,0.99904,0.37790696369685556
sensor_attack_ensemble,1,0.00224,0.99904,0.3732556959076178
sensor_attack_ensemble,1,0.00224,0.99912,0.3728367689402437
sensor_attack_ensemble,1,0.0024,0.99912,0.34802736931081096
sensor_attack_ensemble,1,0.0024,0.9992,0.3465210649411798
sensor_attack_ensemble,1,0.00248,0.9992,0.3464628381567572
sensor_attack_ensemble,1,0.00248,0.99952,0.3270501786151119
sensor_attack_ensemble,1,0.00256,0.99952,0.32275453579150365
sensor_attack_ensemble,1,0.00256,0.9996,0.3118695339731838
sensor_attack_ensemble,1,0.00264,0.9996,0.3105579574917336
sensor_attack_ensemble,1,0.00264,0.99968,0.30956367737481777
sensor_attack_ensemble,1,0.00272,0.99968,0.3092019593596715
sensor_attack_ensemble,1,0.00272,0.99984,0.2976305104194612
sensor_attack_ensemble,1,0.0048,0.99984,0.24859660953941373
sensor_attack_ensemble,1,0.0048,0.99992,0.24793529025298178
sensor_attack_ensemble,1,0.00504,0.99992,0.24062340274821706
sensor_attack_ensemble,1,0.00504,1.0,0.23881529963589745
sensor_attack_ensemble,1,0.05568,1.0,0.0802120119542062
sensor_attack_ensemble,1,0.05584,1.0,0.08020895862290096
sensor_attack_ensemble,1,0.0848,1.0,0.06975752555356719
sensor_attack_ensemble,1,0.08496,1.0,0.06975563848083934
sensor_attack_ensemble,1,0.08856,1.0,0.06879958288189844
sensor_attack_ensemble,1,0.08872,1.0,0.06873612128410096
sensor_attack_ensemble,1,0.09776,1.0,0.06632920661765178
sensor_attack_ensemble,1,0.09792,1.0,0.06632314032400438
sensor_attack_ensemble,1,0.13704,1.0,0.05763027076054227
sensor_attack_ensemble,1,0.1372,1.0,0.05762212200337027
sensor_attack_ensemble,1,0.14064,1.0,0.056851725785997294
sensor_attack_ensemble,1,0.1408,1.0,0.0567889309609294
sensor_attack_ensemble,1,0.142,1.0,0.056540673427156546
sensor_attack_ensemble,1,0.14216,1.0,0.056520618038971716
sensor_attack_ensemble,1,0.19304,1.0,0.045146548038378476
sensor_attack_ensemble,1,0.1932,1.0,0.04511436023430649
sensor_attack_ensemble,1,0.26592,1.0,0.03239474548385482
sensor_attack_ensemble,1,0.26608,1.0,0.032387951410464765
sensor_attack_ensemble,1,0.2796,1.0,0.030370211327715422
sensor_attack_ensemble,1,0.27976,1.0,0.03032724291557777
sensor_attack_ensemble,1,0.32872,1.0,0.024087336457884027
sensor_attack_ensemble,1,0.32888,1.0,0.024080040515669948
sensor_attack_ensemble,1,0.40328,1.0,0.017176223496792636
sensor_attack_ensemble,1,0.40344,1.0,0.01717416002979331
sensor_attack_ensemble,1,0.41272,1.0,0.016512236372829378
sensor_attack_ensemble,1,0.41288,1.0,0.016496563878678348
sensor_attack_ensemble,1,0.4348,1.0,0.015010031633467693
sensor_attack_ensemble,1,0.43496,1.0,0.015000211962477557
sensor_attack_ensemble,1,0.47192,1.0,0.012865134188588404
sensor_attack_ensemble,1,0.47208,1.0,0.012864266924182853
sensor_attack_ensemble,1,0.5216,1.0,0.010770094402757014
sensor_attack_ensemble,1,0.52176,1.0,0.010766946488914754
sensor_attack_ensemble,1,0.54856,1.0,0.00996647134126921
sensor_attack_ensemble,1,0.54872,1.0,0.009966217700415373
sensor_attack_ensemble,1,0.62672,1.0,0.007861422926928282
sensor_attack_ensemble,1,0.62688,1.0,0.007860403836453008
sensor_attack_ensemble,1,0.65368,1.0,0.007272563434860623
sensor_attack_ensemble,1,0.65384,1.0,0.007272487450322992
sensor_attack_ensemble,1,0.65824,1.0,0.007157115320722181
sensor_attack_ensemble,1,0.6584,1.0,0.007156784442709421
sensor_attack_ensemble,1,0.74736,1.0,0.005432734143305415
sensor_attack_ensemble,1,0.74752,1.0,0.005430895575153547
